Acanthogobius flavimanus,Acanthopsoides gracilentus,Acanthopagrus sivicolus,Acheilognathus cf macropterus,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Arctoscopus japonicus,Bos taurus,Branchiostegus japonicus,Carassioides acuminatus,Carassius auratus langsdorfii,Carassius auratus subsp Ishigaki Is,Carassius cuvieri,Chaenogobius gulosus,Chelidonichthys spinosus,Chelon haematocheilus,Coilia grayii,Cypselurus hiraii,Dictyosoma burgeri,Ditrema temminckii pacificum,Elopichthys bambusa,Engraulis japonicus,Epinephelus akaara,Ernogrammus hexagrammus,Favonigobius gymnauchen,Gadus macrocephalus,Girella punctata,Gnathopogon elongatus elongatus,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Hemibarbus barbus,Hexagrammos lagocephalus,Hippoglossoides elassodon,Homo sapiens,Hyporhamphus sajori,Konosirus punctatus,Labeo coubie,Labeo senegalensis,Lagocephalus spadiceus,Lateolabrax japonicus,Lepidotrigla microptera,Leucopsarion petersii,Lycodes sigmatoides,Macrochirichthys macrochirus,Metzia lineata,Micropterus salmoides,Misgurnus anguillicaudatus,Mugil cephalus,Nipponocypris temminckii,Nuchequula nuchalis,Odontamblyopus rubicundus,Omobranchus elegans,Omobranchus punctatus,Opisthoproctus sp ZMUB 18977,Oplegnathus fasciatus,Osteochilus salsburyi,Pagrus major,Parablennius yatabei,Paralichthys olivaceus,Petroscirtes breviceps,Pleuronectes yokohamae,Plotosus japonicus,Pseudolabrus sieboldi,Pungtungia herzi,Rhinogobius brunneus,Rhinogobius flumineus,Rhynchocypris oxycephalus jouyi,Rhynchopelates oxyrhynchus,Rudarius ercodes,Sardinops sagax,Saurida wanieso,Saurogobio immaculatus,Scomber japonicus,Scomberomorus niphonius,Sebastes aleutianus,Sebastes nigrocinctus,Sebastiscus marmoratus,Seriola lalandi,Seriola quinqueradiata,Siganus canaliculatus,Sillago japonica,Sphyraena pinguis,Squaliobarbus curriculus,Stephanolepis cirrhifer,Takifugu niphobles,Takifugu pardadalis,Takifugu porphyreus,Takifugu rubripes,Thamnaconus modestus,Trachemys scripta,Trachurus japonicus,Trachurus symmetricus,Tribolodon hakonensis,Tridentiger obscurus,Tridentiger trigonocephalus,Xenocypris macrolepis,Zacco platypus,Zoarchias veneficus
0,333,0,0,0,0,0,0,0,3583,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,14782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,403,96,0,0,0,0,0,0,3577,0,0,0,0,0,0,0,0,0,79,3444,75,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1531,79,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,13457,0,0,0,0,0,0,0,0,0,0,0,0,583,91,0,0,0,0,42,0,0,0,0,0,0,0
0,38,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0,0,0,0,0,0,0,0,0,0,0
0,475,0,0,0,0,0,0,0,4095,0,0,0,0,0,0,0,0,35,0,3429,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,13693,0,0,0,0,0,0,0,0,0,0,0,12,12,13,0,0,0,0,28,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,872,88,0,0,0,0,0,0,5986,0,0,0,0,0,0,0,0,45,0,5263,119,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1708,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,54,109,0,0,0,0,0,0,0,0,0,0,0,0,0,21655,0,0,0,0,0,0,0,17,0,0,0,0,187,46,0,0,0,0,20,0,0,0,0,0,0,0
0,735,283,0,0,0,0,0,0,6895,0,93,0,481,0,0,0,0,2047,17,5302,101,176,12,0,0,113,0,0,0,0,0,44,0,0,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,101,201,1268,1736,0,83,0,193,0,0,0,0,0,0,15,0,0,21970,0,0,38,0,0,0,0,0,0,0,0,0,211,1108,0,0,0,0,312,0,0,0,126,0,0,341
0,633,0,0,0,0,0,0,0,3842,0,0,0,0,0,0,0,0,0,0,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17081,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38,672,0,0,0,0,0,0,350,0,26,0,0,0,0,0,0,77,0,689,151,0,0,0,0,20,0,66,0,0,0,0,0,0,0,0,593,28,0,0,0,0,0,0,0,0,0,0,17,0,0,28,0,0,0,0,34,145,0,0,0,0,0,0,0,0,0,0,0,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,23,106,0,0,0,0,63,14,0,0,0,0,0,0
